number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_depth,params_n_estimators,params_subsample,state
26,0.720754176563835,2026-04-05 12:35:01.088797,2026-04-05 12:35:01.436408,0 days 00:00:00.347611,0.8618741730984406,0.06017667704206412,3,217,0.8247063745824019,COMPLETE
27,0.7201747169121824,2026-04-05 12:35:01.436671,2026-04-05 12:35:01.779854,0 days 00:00:00.343183,0.8586852218511858,0.05865681072897336,3,218,0.8360981607250861,COMPLETE
28,0.7205074592960953,2026-04-05 12:35:01.780132,2026-04-05 12:35:02.172773,0 days 00:00:00.392641,0.8212506262708488,0.08138385617855441,3,249,0.9028742019677863,COMPLETE
29,0.7161067462061541,2026-04-05 12:35:02.173038,2026-04-05 12:35:02.873385,0 days 00:00:00.700347,0.8602901024727572,0.043757303406059544,6,281,0.8628199488028458,COMPLETE
30,0.7183278929772493,2026-04-05 12:35:02.873655,2026-04-05 12:35:03.166137,0 days 00:00:00.292482,0.8955258738574121,0.026715622944183472,3,185,0.9475773102817946,COMPLETE
31,0.7187994014785257,2026-04-05 12:35:03.166415,2026-04-05 12:35:03.562217,0 days 00:00:00.395802,0.9758169487047748,0.06341677619176087,4,211,0.8181679143452845,COMPLETE
32,0.7202285443384905,2026-04-05 12:35:03.562473,2026-04-05 12:35:03.829632,0 days 00:00:00.267159,0.8994430502507501,0.05366825939183306,3,163,0.7858360425359848,COMPLETE
33,0.7204183724364072,2026-04-05 12:35:03.829895,2026-04-05 12:35:04.131089,0 days 00:00:00.301194,0.9350312708523341,0.06959880375661719,3,187,0.7651857108026674,COMPLETE
34,0.7189031056943491,2026-04-05 12:35:04.131384,2026-04-05 12:35:04.565106,0 days 00:00:00.433722,0.964671660581049,0.0872938093409142,4,229,0.8868234991558326,COMPLETE
35,0.7202614333897944,2026-04-05 12:35:04.565384,2026-04-05 12:35:04.908722,0 days 00:00:00.343338,0.8107937989705879,0.0736113917624382,3,213,0.8158171139670013,COMPLETE
36,0.7195265161803268,2026-04-05 12:35:04.908978,2026-04-05 12:35:05.186432,0 days 00:00:00.277454,0.9120498786129893,0.056239101642160394,4,143,0.7921599638171222,COMPLETE
37,0.719011155610645,2026-04-05 12:35:05.186719,2026-04-05 12:35:05.373042,0 days 00:00:00.186323,0.8706716594520303,0.06533921892551595,3,111,0.8597249740061806,COMPLETE
38,0.7171703563968217,2026-04-05 12:35:05.373312,2026-04-05 12:35:05.874481,0 days 00:00:00.501169,0.9087210434504804,0.014951106243285717,6,195,0.8918863896925572,COMPLETE
39,0.7200844448614562,2026-04-05 12:35:05.874734,2026-04-05 12:35:06.214686,0 days 00:00:00.339952,0.8464961735485139,0.045734701606431026,4,176,0.7680954321293225,COMPLETE
40,0.7177339147353814,2026-04-05 12:35:06.214936,2026-04-05 12:35:06.743334,0 days 00:00:00.528398,0.9348679294773311,0.03735072881022682,5,241,0.9730198196441691,COMPLETE
41,0.7201454821999121,2026-04-05 12:35:06.743612,2026-04-05 12:35:07.147109,0 days 00:00:00.403497,0.8189080952897057,0.07679286062788386,3,254,0.9121599188398128,COMPLETE
42,0.7206891885885855,2026-04-05 12:35:07.147390,2026-04-05 12:35:07.584911,0 days 00:00:00.437521,0.8073715404363986,0.08248963876349853,3,275,0.8713193464040755,COMPLETE
43,0.7201143709351652,2026-04-05 12:35:07.585180,2026-04-05 12:35:08.007846,0 days 00:00:00.422666,0.7971725071444367,0.0972998175766111,3,269,0.877195573595373,COMPLETE
44,0.7203422239122168,2026-04-05 12:35:08.008109,2026-04-05 12:35:08.371400,0 days 00:00:00.363291,0.7801261533565019,0.08721136252113182,3,229,0.8254184402013037,COMPLETE
45,0.7207954607183245,2026-04-05 12:35:08.371658,2026-04-05 12:35:08.842421,0 days 00:00:00.470763,0.7311183179636289,0.06686535628495326,3,296,0.8445326962327507,COMPLETE
46,0.7194650837781915,2026-04-05 12:35:08.842678,2026-04-05 12:35:09.118768,0 days 00:00:00.276090,0.7381168186751486,0.06832192306399362,4,136,0.8056214063400668,COMPLETE
47,0.720500644447627,2026-04-05 12:35:09.119022,2026-04-05 12:35:09.593621,0 days 00:00:00.474599,0.9749272440980444,0.05477691148272519,3,299,0.8538986358036328,COMPLETE
48,0.7193274040859461,2026-04-05 12:35:09.593899,2026-04-05 12:35:10.126703,0 days 00:00:00.532804,0.7290157672544201,0.04918475568712989,4,284,0.9378512082454331,COMPLETE
